Headline,Industry,College-Name-1,Degree-Name-1,Field-Of-Study-1,Activities-and-Societies-1,Activities-and-Societies--1,Job-Title-1,Company-Name-1,Dates-Employed-1,Employment-Duration-1,Location-1,College-Name-2,Degree-Name-2,Field-Of-Study-2,Activities-and-Societies-2,Activities-and-Societies--2,Job-Title-2,Company-Name-2,Dates-Employed-2,Employment-Duration-2,Location-2,College-Name-3,Degree-Name-3,Field-Of-Study-3,Activities-and-Societies-3,Activities-and-Societies--3,Job-Title-3,Company-Name-3,Dates-Employed-3,Employment-Duration-3,Location-3,College-Name-4,Degree-Name-4,Field-Of-Study-4,Activities-and-Societies-4,Activities-and-Societies--4,Job-Title-4,Company-Name-4,Dates-Employed-4,Employment-Duration-4,Location-4,College-Name-5,Degree-Name-5,Field-Of-Study-5,Activities-and-Societies-5,Activities-and-Societies--5,Job-Title-5,Company-Name-5,Dates-Employed-5,Employment-Duration-5,Location-5,College-Name-6,Degree-Name-6,Field-Of-Study-6,Activities-and-Societies-6,Activities-and-Societies--6,Job-Title-6,Company-Name-6,Dates-Employed-6,Employment-Duration-6,Location-6,skills
"Sr. Director of Product Management, Product Leader (NYSE:PAR)",Product Manager,San Diego State University-California State University,BA,Interdisciplinary Studies / CS Emphasis,,KCR -  General Manager,Sr. Director / General Manager,PAR Technology,Aug 2021 – Present,3 mos,"Encinitas, California, United States",Copenhagen Business School,,Strategic Management and Innovation,,,Sr. Product Manager,GoPro,Sep 2017 – Apr 2021,3 yrs 8 mos,"Carlsbad, CA",Grossmont High School,,,,"DECA, Toastmasters, Debate Team","Director, Product Management",Verve,Nov 2015 – Aug 2017,1 yr 10 mos,Greater San Diego Area,,,,,,Director of Product,"LocalStack (Formerly MojoPages, Inc.)",Jun 2014 – Nov 2015,1 yr 6 mos,Greater San Diego Area,,,,,,Sr. Product Manager / Market Lead,"hibu / Yellowbook, Inc.",Jul 2013 – Jun 2014,1 yr,Greater San Diego Area,,,,,,,,,,,
Strategic product manager and product owner that focuses on user experience,Product Manager,California State University-Dominguez Hills,Professional Certificate,Project Management,,,Product Owner,Wawanesa Insurance,Sep 2021 – Present,2 mos,San Diego Metropolitan Area,University of Phoenix,Bachelor of Science,Business Management,,,Product Manager,Petco,Oct 2020 – Sep 2021,1 yr,"San Diego, California, United States",,,,,,Product Manager,Evite,May 2019 – Oct 2020,1 yr 6 mos,Greater Los Angeles Area,,,,,,Product Manager,"Online Guru, Inc.",Jan 2018 – Mar 2019,1 yr 3 mos,Greater San Diego Area,,,,,,"Site Experience Manager, ProFlowers.com & ProPlants.com",FTD Companies,Mar 2016 – Dec 2017,1 yr 10 mos,Greater San Diego Area,,,,,,,,,,,
Product Manager @ Boston Scientific | MBA @ Kellogg,Product Manager,Northwestern University - Kellogg School of Management,Master of Business Administration - MBA,,,,Global Product Manager,Boston Scientific,Jan 2020 – Present,1 yr 10 mos,"Marlborough, Massachusetts",The Johns Hopkins University,Master of Science (MS),Biomedical/Medical Engineering,,,Senior Front End Innovation Leader,Becton Dickinson,Jan 2019 – Jan 2020,1 yr 1 mo,"Franklin Lakes, New Jersey",Rice University,BS,Bioengineering,,"Peer Career Advisor, Rice Biomedical Engineers Society, South Asian Society",Senior Consultant,Clinvue,Aug 2014 – Dec 2018,4 yrs 5 mos,"Baltimore, Maryland Area",,,,,,Technology Transfer Analyst Intern,Johns Hopkins Technology Transfer,Aug 2013 – May 2014,10 mos,"Baltimore, Maryland Area",,,,,,Undergraduate Research Assistant,Rice University,Sep 2010 – May 2013,2 yrs 9 mos,"Houston, Texas Area",,,,,,,,,,,
"Director, Product Management at Salesforce Pardot",Product Manager,Duke University,MEM,Engineering Management,,"Master of Engineering Management Program, Master of Engineering Management Program Development Committee (Student Activities Committee), Master of Engineering Management Program Mentor","Director, Product Management",Pardot,Aug 2020 – Present,1 yr 3 mos,"Portsmouth, New Hampshire, United States",University of New Hampshire,BSME,Mechanical Engineering,,"Society of Women Engineers, Order of Omega National Honor Society, Chi Omega","Product Manager, Yahoo Business Suite",Yahoo!,Jun 2013 – Jun 2015,2 yrs 1 mo,"Atlanta, Georgia",Budapest University of Technology and Economics,,Mechanical Engineering,,ERASMUS Student Exchange Participant,"Technical Product Manager, Social Analytics, Publishing, Moderation, SRM Administration",Oracle,Jul 2011 – May 2013,1 yr 11 mos,"Atlanta, Georgia",,,,,,"Technical Product Manager, Social Analytics, Publishing, Moderation, SRM Administration","Vitrue, Inc.",Jul 2011 – Jul 2012,1 yr 1 mo,"Atlanta, Georgia",,,,,,Mechanical Engineer II,BAE Systems,Jun 2008 – Aug 2010,2 yrs 3 mos,,,,,,,,,,,,
"Director, Product Strategy @ Workhuman |  Empowering the future of work through products that enhance human connections",Product Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Product Manager at De Nora Water Technologies,Product Manager,Boston University,Double B.S,Marketing and Business Management,,,Global Product Manager,De Nora Water Technologies,Nov 2020 – Present,1 yr,,Newbury College,n/a,Computer Sciences,,Deans list: 1998,Senior Global Product Manager– Continuous Electrodeionization CEDI,Evoqua Water Technologies,Jan 2020 – Oct 2020,10 mos,"Lowell, MA",,,,,,Contract Pricing Administrator.,Smith & Nephew Endoscopy,Oct 2005 – Feb 2006,5 mos,"Andover, MA",,,,,,Customer Service Representative-Sales,TRU Connector Corp,Jul 2003 – Jul 2005,2 yrs 1 mo,"Peabody,MA",,,,,,Customer Service Technician.,Pitney Bowes Management Services,May 2002 – May 2003,1 yr 1 mo,,,,,,,,,,,,
Co-Founder and Product Manager at Grafton Studio,Product Manager,Dublin City University,Bachelor of Commerce (B.Com.),Marketing,,"The Enterprise Society, DCU Rugby",Co-Founder and Product Manager,Grafton Studio,Jun 2014 – Present,7 yrs 5 mos,"Boston, MA",The King's Hospital School,Irish Leaving Certificate,"English, Irish, Maths, Business, Economics, French, Chemistry",,,Account Manager,Boston Interactive,Jan 2012 – Jun 2014,2 yrs 6 mos,Greater Boston Area,,,,,,Sports and Sponsorship Executive,Pembroke Communications,Jun 2010 – Jan 2012,1 yr 8 mos,"Dublin, Ireland",,,,,,Online Manager,Paralympics Ireland,Feb 2011 – Dec 2011,11 mos,"Dublin, Ireland",,,,,,,,,,,,,,,,,,,,,
Senior eCommerce Marketing and Product Manager Ahold Delhaize - consumer eCommerce and digital analytics.,Product Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product Lead at Boston Consulting Group (BCG),Product Manager,University of Illinois at Chicago,Master of Business Administration (MBA),"Concentration in International Business and Entrepreneurship, 3.84 GPA",,Member of MBA Association and Student Ambassador at UIC Liautaud Graduate School of Business,Product Lead,Boston Consulting Group (BCG),Jun 2021 – Present,5 mos,"Chicago, Illinois, United States",Sholokhov Moscow State University for Humanities,"5 year degree in Education/Linguistics awarded with honors, 4.0 GPA",,,,Product Manager - Nielsen Connect,Nielsen,Jun 2018 – Jan 2021,2 yrs 8 mos,,,,,,,Market Research Analyst,Technomic Inc.,Jan 2014 – Feb 2015,1 yr 2 mos,,,,,,,MBA / Concentration in International Business and Entrepreneurship,University of Illinois at Chicago,Aug 2010 – May 2012,1 yr 10 mos,,,,,,,Product Development / Project Management,Outerwall Inc./Redbox,2011 – 2012,1 yr,,,,,,,,,,,,"Cross-functional Team Leadership,Agile Methodologies,Product Management"
Senior Business Analyst - Compliance Focus,Business,New York University,,Computer and Information Sciences,,,Senior Business Analyst,Deutsche Bank,Jul 2019 – Oct 2020,1 yr 4 mos,Greater New York City Area,Columbia | SIPA,,Political Science,,,Senior Business Analyst,Industrial and Commercial Bank of China via Vesta Compliance Solutions,Feb 2019 – Apr 2019,3 mos,Greater New York City Area,United States Navy,,Engineroom Supervisor - Main Propulsion,,,"Business Analyst, Data Quality Testing SME",MUFG,Aug 2018 – Dec 2018,5 mos,"Jersey City, NJ",,,,,,Oracle Mantas Enterprise Case Management SME,Global Asian Bank,Apr 2018 – May 2018,2 mos,"New York, NY",,,,,,BSA and USA PATRIOT Act SME,New York Partnership,Feb 2018 – Mar 2018,2 mos,"New Paltz, NY",,,,,,,,,,,
