Headline,Industry,College-Name-1,Degree-Name-1,Field-Of-Study-1,Activities-and-Societies-1,Activities-and-Societies--1,Job-Title-1,Company-Name-1,Dates-Employed-1,Employment-Duration-1,Location-1,College-Name-2,Degree-Name-2,Field-Of-Study-2,Activities-and-Societies-2,Activities-and-Societies--2,Job-Title-2,Company-Name-2,Dates-Employed-2,Employment-Duration-2,Location-2,College-Name-3,Degree-Name-3,Field-Of-Study-3,Activities-and-Societies-3,Activities-and-Societies--3,Job-Title-3,Company-Name-3,Dates-Employed-3,Employment-Duration-3,Location-3,College-Name-4,Degree-Name-4,Field-Of-Study-4,Activities-and-Societies-4,Activities-and-Societies--4,Job-Title-4,Company-Name-4,Dates-Employed-4,Employment-Duration-4,Location-4,College-Name-5,Degree-Name-5,Field-Of-Study-5,Activities-and-Societies-5,Activities-and-Societies--5,Job-Title-5,Company-Name-5,Dates-Employed-5,Employment-Duration-5,Location-5,College-Name-6,Degree-Name-6,Field-Of-Study-6,Activities-and-Societies-6,Activities-and-Societies--6,Job-Title-6,Company-Name-6,Dates-Employed-6,Employment-Duration-6,Location-6,skills
Senior Software Engineer at Etsy,Software Engineer,State University of New York at Binghamton,Bachelor of Science (B.S.),Computer Science,,"HackBu, Club Soccer, Quimbamba Latin Dance Team",Senior Software Engineer,Etsy,Oct 2020 – Present,1 yr 1 mo,"Brooklyn, New York",West Hempstead High School,,,,"Varsity Soccer, National Honor Society, Stage Crew",Software Engineer,Bar and Club Stats,Nov 2017 – Nov 2018,1 yr 1 mo,New York,,,,,,Software Developer,Sonarcloud,Jul 2016 – Jan 2017,7 mos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entrepreneur and software engineer,Software Engineer,Georgia Institute of Technology,Master of Science - MS,Computer Science,,,Principal Software Engineer,Tripadvisor,Mar 2021 – Present,8 mos,"New York, New York, United States",City University of New York City College,B.E.,Computer Engineering,,,Senior Software Engineer,SinglePlatform(Acquired by TripAdvisor ),2018 – Apr 2020,2 yrs,,Dewitt Clinton High School,,,,,Founder & CTO,Access Bazaar,Jan 2016 – Dec 2018,3 yrs,Greater New York City Area,,,,,,Senior Software Engineer,SEVENROOMS,Jan 2015 – Mar 2016,1 yr 3 mos,Greater New York City Area,,,,,,Software Engineer,Nomi,2013 – 2015,2 yrs,Greater New York City Area,,,,,,,,,,,"Python,JavaScript,Linux"
Software Engineer | Website Developer | Mobile Software & Application Developer | Founder of New York Software Lab,Software Engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Director of Engineering at GitHub,Software Engineer,Massachusetts Institute of Technology,BS,Mechanical Engineering - Energy,,"Science and Engineering Business Club, Network for Sloan Undergraduate Women, Kappa Alpha Theta, Mechanical Engineering Student Group, Next House Exec, Next House Desk Captain",Director Of Engineering - Communities,GitHub,Jul 2020 – Present,1 yr 4 mos,San Francisco Bay Area,,,,,,Director,Write/Speak/Code,Aug 2016 – Dec 2018,2 yrs 5 mos,Remote,,,,,,Senior Software Engineer,Pivotal Labs,Aug 2015 – Nov 2017,2 yrs 4 mos,San Francisco,,,,,,Software Engineer and Product Manager,Floored,May 2014 – Jun 2015,1 yr 2 mos,New York City,,,,,,Software Engineer,Rent The Runway,Jul 2013 – Apr 2014,10 mos,New York City,,,,,,,,,,,
Full Stack Software Engineer,Software Engineer,Flatiron School,Certificate,Computer Software Engineering,,,Software Engineer III,Ticketmaster,Sep 2021 – Present,2 mos,Remote,University of North Georgia,,Business Administration,,,Full Stack Software Engineer,Upstream,Jan 2021 – Jul 2021,7 mos,New York City Metropolitan Area,Brenau University,,Business Administration,,,Software Engineer,Acoer,Mar 2020 – Jan 2021,11 mos,Greater New York City Area,,,,,,Full Stack Software Engineer,Freelance Software Development,Feb 2019 – Mar 2020,1 yr 2 mos,Greater New York City Area,,,,,,IT Engineer and Executive Administrator to CSO,International Value Advisers,Dec 2017 – Apr 2018,5 mos,"New York, NY",,,,,,,,,,,
Software Engineer at Trello,Software Engineer,Fullstack Academy of Code,,,,,Software Engineer,Trello,May 2020 – Present,1 yr 6 mos,,University of Maryland College Park,Bachelor of Science (BS),"Psychology, Neuroscience",,,"Software Engineer, Technical Lead",Cedrus Digital,Jan 2018 – May 2020,2 yrs 5 mos,"New York, New York",,,,,,"Co-Founder, WordPress Developer",Castillo Productions,Apr 2016 – Jan 2019,2 yrs 10 mos,"New York, NY",,,,,,"Production Coordinator, WordPress Developer",Non-Profit,Oct 2012 – Aug 2017,4 yrs 11 mos,"New York, NY",,,,,,Individual Support Technician,The Whole Self Center,Jun 2010 – Feb 2014,3 yrs 9 mos,"Annapolis, Maryland",,,,,,,,,,,
Director of Communications and Marketing at New Museum of Contemporary Art,Marketing,Boston College,Bachelor’s Degree,Philosophy,,"The Heights newspaper, Phi Beta Kappa, Presidential Scholars Program",Director of Communications and Marketing,New Museum of Contemporary Art,Nov 2020 – Present,1 yr 1 mo,"New York, United States",University of Oxford,,Philosophy,,The Oxford Student Newspaper,Communications Manager,The Museum of Modern Art,Apr 2013 – Feb 2017,3 yrs 11 mos,"New York, NY",Jesuit High School of New Orleans,High School,,,,Associate Publicist,Basic Books,Jun 2007 – May 2008,1 yr,"New York, NY",,,,,,Editorial Intern,BOMB Magazine,Jan 2006 – Apr 2006,4 mos,"Brooklyn, NY",,,,,,Radio Liaison Intern,CMJ,Jun 2003 – Aug 2003,3 mos,"New York, NY",,,,,,,,,,,
C-Suite Executive | Digital Leader | Senior Advisor | Board Member,Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vice President, Global Marketing at MAKEUP BY MARIO",Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"President, Global Travel & Lifestyle Services at American Express",Marketing,Trinity College Dublin,M.A. & B.Sc (management and marketing),"Marketing, Finance",,"Marketing Society, Drama and Arts Society, Active in Student Politics","President, Global Travel & Lifestyle Services",American Express,Feb 2018 – Present,3 yrs 10 mos,"New York, NY",,,,,,Vice President and General Manager,American Express,1999 – 2001,2 yrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Associate Director of Marketing Strategy at The Michael J. Fox Foundation for Parkinson's Research,Marketing,Marist College,Master's degree,Integrated Marketing and Communications,,,Associate Director of Marketing Strategy,The Michael J. Fox Foundation for Parkinson's Research,Aug 2021 – Present,4 mos,United States,University of Scranton,Bachelor's degree,Health/Health Care Administration/Management,,"Treasurer of Wishmakers on Campus, Intramural Volleyball, Intramural Lacrosse, Health Administration",Marketing and Communications Manager,Ronald McDonald House New York,Feb 2018 – Sep 2021,3 yrs 8 mos,"New York, New York",King's College London,Bachelor's degree,"Humanities/Humanistic Studies, International Business",,Baking Society and Business Club,Marketing Coordinator,Sotheby's International Realty Affiliates LLC,Nov 2017 – Feb 2018,4 mos,"New York, New York",,,,,,Marketing Coordinator,St. Luke's Cornwall Hospital,Jun 2016 – Nov 2017,1 yr 6 mos,"Newburgh, NY",,,,,,Resource Development Intern,"Maternal And Family Health Services, Inc.",Feb 2016 – May 2016,4 mos,"Wilkes-Barre, PA",,,,,,,,,,,
Non-Profit and Corporate Marketing and Media Strategies | Develop and Communicate Creative Brand Experiences,Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Growth Marketing Strategy & Execution for Education companies, EdTech start-ups and Nonprofits",Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Chief Marketing & Communications Officer at DDB Worldwide,Marketing,Quinnipiac University,BS,Marketing/Advertising,,WQAQ-FM College Radio Station  Promotions Director and Disc Jockey,Global Chief Marketing & Communications Officer,DDB,May 2021 – Present,7 mos,"New York, New York, United States","St. Thomas Aquinas High School, CT",,,,,"EVP, Marketing, Communications, Events & Partnerships",4A's,Nov 2019 – May 2021,1 yr 7 mos,Greater New York City Area,,,,,,NYC Chapter Co-Chair,"WIT - Women in Toys, Licensing & Entertainment (WIT)",May 2018 – May 2021,3 yrs 1 mo,"New York, New York",,,,,,"CEO & Chief Ideator | Author, Inventor, IP Creator",SKY-D8 Consulting & Ideation Studio,May 2018 – Nov 2019,1 yr 7 mos,Greater New York City Area,,,,,,"EVP, Product Development & Product Marketing, Softlines",The NPD Group,Aug 2016 – May 2018,1 yr 10 mos,Greater New York City Area,,,,,,,,,,,
Federal Government Contracts Attorney,Lawyer,Michigan State University College of Law,Juris Doctor,Law,,,Government Contracts Lawyer Washington DC & Colorado,"Watson & Associates, llC",Oct 2003 – Present,18 yrs 2 mos,Washington DC and Denver Colorado,Columbia College,B.S,Criminal Justice Administration,,,Professor,Columbia College,Mar 2002 – Present,19 yrs 9 mos,Greater Denver Area,Community College of the Air Force,AAS Training & Education Management,"Educational Leadership and Administration, General",,,Government Contracts Small Business Program Manager & Quality Assurance Manager,United States Air Force,Mar 2001 – Oct 2004,3 yrs 8 mos,,,,,,,Various Positions,United States Air Force - Retired,Feb 1980 – Feb 2000,20 yrs 1 mo,,,,,,,,,,,,,,,,,,,,,,
"J.D. Candidate, The George Washington University Law School",Lawyer,The George Washington University Law School,Doctor of Law - JD,,,"University Student Association, Student Bar Association, Asian Pacific American Law Student Association, East Asian Law Society","Fall Intern, Office of the Solicitor General",Office of the Attorney General for the District of Columbia,Sep 2021 – Present,3 mos,"Washington, District of Columbia, United States",New York University,Bachelor of Arts - BA,International Relations and Affairs,,"Phi Beta Kappa, New York University Model United Nations, International Relations Society at New York University, New York University Policy Case Competition","Executive Vice President, Student Bar Association",The George Washington University Law School,Apr 2021 – Present,8 mos,"Washington, District of Columbia, United States",Waseda University,International Exchange Student,School of Political Science and Economics,,,Member,International Law in Domestic Courts Journal,Jul 2020 – Present,1 yr 5 mos,"Washington, District of Columbia, United States",,,,,,"Chief Justice, Student Court",The George Washington University Student Association,May 2021 – Present,7 mos,"Washington, District of Columbia, United States",,,,,,"Judicial Intern to the Honorable Jonathan Biran, Court of Appeals of Maryland",Maryland Judiciary,May 2021 – Aug 2021,4 mos,"Annapolis, Maryland, United States",,,,,,,,,,,
Sullivan & Cromwell,Lawyer,University of Chicago Law School,Doctor of Law (JD),,,,Principal Deputy Solicitor General,U.S. Department of Justice,Mar 2017 – Jan 2021,3 yrs 11 mos,Washington D.C. Metro Area,Georgetown University,Bachelor of Arts (B.A.),,,,Co-Head of the Appellate Litigation Practice,Sullivan & Cromwell LLP,Nov 2013 – Mar 2017,3 yrs 5 mos,,,,,,,Assistant to the Solicitor General,U.S. Department of Justice,2008 – 2013,5 yrs,,,,,,,Associate,Kirkland & Ellis LLP,2006 – 2008,2 yrs,,,,,,,Law Clerk to the Honorable Clarence Thomas,U.S. Supreme Court,2004 – 2005,1 yr,,,,,,,,,,,,
"Senior Advisor, Civilian Harm Mitigation at Defense Security Cooperation Agency; USAF veteran and lawyer",Lawyer,Harvard Law School,Juris Doctor,Public International Law and National Security Law,,"Research Assistant for Harvard Law Program on International Law and Armed Conflict; Co-President Armed Forces Association; Harvard Graduate Student Leadership Institute; Pfoho House non-resident fellow; Advocates for Human Rights; Human Rights Clinic (field mission to Ukraine); Clara Barton moot court, 2nd place; Pictet IHL moot court semi-finalist.",Flight Commander,US Air Force Reserve,Mar 2021 – Present,9 mos,,Yale University,Master of Global Affairs,Conflict Resolution and Reconstruction,,,"Senior Advisor, Civilian Harm Mitigation",Defense Security Cooperation Agency,May 2019 – Present,2 yrs 7 mos,,University of Pennsylvania,BA,"International Relations, Psychology, Political Science",,,Term Member,Council on Foreign Relations,Jun 2021 – Present,6 mos,"Washington, District of Columbia, United States",,,,,,Next Generation National Security Fellow,Center for a New American Security (CNAS),Mar 2021 – Present,9 mos,,,,,,,Truman National Security Project Fellow,Truman National Security Project,Dec 2016 – Present,5 yrs,,,,,,,,,,,,"Defense,Military Operations,Intelligence"
"Antitrust Lawyer and Previous Chair, Antitrust Section of American Bar Ass'n",Lawyer,Rutgers University School of Law,Doctor of Law (JD),,,,Antitrust Lawyer and Past Chair,American Bar Association Section of Antitrust Law,Aug 2017 – Present,4 yrs 4 mos,,Vassar College,AB,"Science, Technology & Society",,,Partner/Sr of Counsel,Morrison & Foerster LLP,May 2012 – Jun 2020,8 yrs 2 mos,,,,,,,International and Programs Officer,Antitrust Section of ABA,Aug 2010 – Aug 2014,4 yrs 1 mo,,,,,,,Partner,Dewey & LeBoeuf LLP,Mar 2011 – May 2012,1 yr 3 mos,,,,,,,Partner,Howrey LLP,1980 – 2011,31 yrs,,,,,,,,,,,,
Director and Lawyer,Lawyer,Stanford University Law School,Juris Doctor (J.D.),,,,Director,Natural Resources Defense Council (NRDC),2007 – Present,14 yrs,Washington D.C. Metro Area,Yale University,Bachelor's Degree,,,,Associate,Powell Goldstein LLP,1991 – 1993,2 yrs,Washington D.C. Metro Area,,,,,,Judicial Law Clerk,Alaska Supreme Court,1990 – 1991,1 yr,"Anchorage, Alaska",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Former Power Lawyer, Current Power Dad and Unorthodox Life Navigator, Host of UNLAWYERLY.com Podcast/Youtube",Lawyer,"The Catholic University of America, Columbus School of Law",Juris Doctorate,Law,,,Advisor,Ascia & Company LLC,Dec 2013 – Present,8 yrs,,University of Virginia,Masters of Science,Accounting,,,Founder,"My Personal Tax CPA, LLC",Jan 2010 – Present,11 yrs 11 mos,,University of Virginia,Bachelors of Science,Commerce: Accounting/Finance,,"	Alpha Kappa Psi Professional Business Fraternity: Pledge Class President, V.P. Administration	Beta Alpha Psi	National Society of Collegiate Scholars	Phi Eta Sigma Honor Society	Alpha Kappa Psi Academy",Lawyer,Nixon Peabody LLP,Mar 2020 – Jun 2021,1 yr 4 mos,"Washington, District of Columbia, United States",,,,,,Lawyer,Akin Gump Strauss Hauer & Feld LLP,Oct 2015 – Mar 2020,4 yrs 6 mos,Washington D.C. Metro Area,,,,,,Instructor,Becker Professional Review,Jan 2008 – May 2018,10 yrs 5 mos,,,,,,,,,,,,
"American lawyer and diplomat, Senior Fellow at American Enterprise Institute",Lawyer,,,,,,"American lawyer and diplomat, Senior Fellow",American Enterprise Institute,2006 – Present,15 yrs,,,,,,,3rd Under Secretary of State,Arms Control and International Security,May 2001 – Jul 2005,4 yrs 3 mos,,,,,,,18th Assistant Secretary of State,International Organization Affairs,Mar 1989 – Jan 1993,3 yrs 11 mos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Diplomacy,Public Speaking,Public Diplomacy"
Assistant General Counsel at Amentum Services Inc.,Lawyer,University of North Carolina at Chapel Hill,Doctor of Law (J.D.),Law,,,Assistant General Counsel,DynCorp International,Aug 2019 – Present,2 yrs 4 mos,"McLean, Virginia",University of North Carolina at Charlotte,Bachelor of Arts (B.A.),Political Science and Philosophy,,,Shareholder,Jackson Lewis P.C.,Mar 2013 – Feb 2018,5 yrs,"10701 Parkridge Blvd, Suite 300 Reston, Virginia 20191",,,,,,Attorney,U.S. Department of Labor,Oct 2006 – Mar 2013,6 yrs 6 mos,"200 Constitution Ave, Washington D.C. 20210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Founder & CEO of PatientPilot, patient advocate, journalist and lawyer",Lawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lawyer and Criminal Justice Reform Specialist,Lawyer,University of Ottawa,Master of Arts (M.A.),Criminology,,Criminology Graduate Students Association,Consultant,Organization of American States,Jan 2015 – Present,6 yrs 11 mos,Washington D.C. Metro Area,Universidade de São Paulo,Bachelor's degree,Law,,Legal clinic - Departamento Jurídico XI de Agosto; Volleyball Athletic Team; Organizing Team of graduation party,Graduate Student and Teaching Assistant,University of Ottawa,Sep 2012 – Sep 2014,2 yrs 1 mo,,,,,,,Intern,International Centre for the Prevention of Crime (ICPC),Oct 2011 – Apr 2012,7 mos,,,,,,,Lawyer,Departamento Jurídico XI de Agosto,Dec 2010 – Jul 2011,8 mos,,,,,,,Lawyer,"Podval, Antun, Indalecio Advogados Associados",Feb 2011 – Apr 2011,3 mos,,,,,,,,,,,,
Postdoctoral Researcher. Artificial Intelligence and Machine Learning,Machine Learning,Massachusetts Institute of Technology,MEng,Computer Science,,,Postdoctoral Researcher,Microsoft,Jul 2021 – Present,6 mos,New York City Metropolitan Area,Oxford University,Computational Biology,Computational Biology,,,PhD,UC Berkeley,Jan 2016 – Jul 2021,5 yrs 7 mos,,University of Cambridge,Master's degree,Theoretical Mathematics,,,Visiting PhD Student Researcher,Facebook AI,Dec 2020 – Jun 2021,7 mos,San Francisco Bay Area,,,,,,PhD Student Researcher,Microsoft,May 2020 – Aug 2020,4 mos,"Berkeley, California, United States",,,,,,Visiting PhD Student Researcher,Facebook,Oct 2019 – May 2020,8 mos,San Francisco Bay Area,,,,,,,,,,,
DataRobot. Senior Machine Learning Engineer & Data Scientist. Founder of AI Consulting.,Machine Learning,Harvard University,Masters,,,"Coursework / Activities:Mathematics,Finance,Business,& Economics",Data Science and Machine Learning Engineer,DataRobot,Mar 2019 – Present,2 yrs 10 mos,Greater Boston Area,University of Colorado Boulder,Double Degree: Bachelor of Science (BS)/Bachelor of Arts (BA),Chemical & Biological Engineering; Economics: Quantitative,,"Ronald E. McNair Post-Baccalaureate Achievement Program,American Institute of Chemical Engineers (AIChE),Mexican American Engineers and Scientists (MAES),Society of Hispanic Professional Engineers (SHPE),National Institutes of Health (NIH) Scholars Program for Diversity in the Biosciences,NIH/Howard Hugh Medical Institute (HHMI) Scholars Exploring Research Program,Undergraduate Research Opportunities Program,University of Colorado Student Government (CUSG)",Founder,"AI Consulting, LLC",2013 – Present,8 yrs,Greater Boston Area,,,,,,Co-Founder,lendable,Jan 2017 – Dec 2018,2 yrs,Greater Boston Area,,,,,,Data Scientist,UTC Aerospace Systems,May 2017 – Jan 2018,9 mos,Greater Boston Area,,,,,,Operations Manager/Data Management & Analysis,SIOC INC,Nov 2015 – Apr 2017,1 yr 6 mos,HQ Greater Denver Area,,,,,,,,,,,
Senior Genomic Data Scientist at Insitro,Machine Learning,"Tata Institute of Fundamental Research, Mumbai",Doctor of Philosophy (PhD),,,"Mentored three student trainees in successful dissertation projects. Teaching Assistant for pre-calculus course.  Organizational role in four academic conferences, as well as journal clubs, summer courses for undergraduates and lecture series.  Delivered guest lectures for undergraduate and graduate classes at Bangalore University.",Senior Genomic Data Scientist,insitro,Aug 2021 – Present,5 mos,,Delhi University,Bachelor of Science (B.Sc.) with Honors,Biochemistry,,"President, Science Association.",Senior Scientist (Deep Learning & Genomics),NVIDIA,Jun 2020 – Aug 2021,1 yr 3 mos,San Francisco Bay Area,"Tata Institute of Fundamental Research, Mumbai",Master of Science - MSc,Biology,,,Postdoctoral Researcher (Genomics / Machine Learning),Stanford University,Jan 2017 – Dec 2018,2 yrs,San Francisco Bay Area,,,,,,Graduate Student (Genomics),National Centre for Biological Sciences,Aug 2010 – Apr 2016,5 yrs 9 mos,"Bengaluru Area, India",,,,,,Summer Intern (Neuroscience),National Centre for Biological Sciences,May 2009 – Jul 2009,3 mos,"Bengaluru Area, India",,,,,,,,,,,
Machine Learning Consultant at Neurable,Machine Learning,Stanford University,Doctor of Philosophy - PhD,Neuroscience,,,Machine Learning Consultant,Neurable,Mar 2021 – Present,10 mos,,Brandeis University,Master of Science - MS,Neuroscience,,Thesis title: Connectional Constraints and Feed-Forward Inhibition Allow the Development of RobustCortical Direction Selectivity from Sparse Initial Inputs,Technical Associate I,Massachusetts Institute of Technology,May 2019 – Mar 2021,1 yr 11 mos,Greater Boston Area,Brandeis University,Bachelor of Science - BS,Neuroscience,,Phi beta KappaCaptain of TRON Brandeis Men's Ultimate,Research Affiliate,Massachusetts General Hospital,May 2019 – Mar 2020,11 mos,,,,,,,Lead 8th and 10th grade English teacher,Institute of Education Jorge Robledo,Mar 2018 – Aug 2018,6 mos,"Medellin, Colombia",,,,,,Undergraduate Assistant,"Center for German and European Studies, Brandeis University",Oct 2014 – May 2017,2 yrs 8 mos,"Waltham, MA",,,,,,,,,,,
Head of Data Science | AI for Good | ex-professor,Machine Learning,Boston University,B.A.,Political Science,,"Habitat for Humanity, Alpha Phi Omega, Public Relations Student Society of America",Head of Data Science,Shelf Engine,Dec 2020 – Present,1 yr 1 mo,,University of Rochester,Ph.D. in Political Science,"Game Theory, Quantitative Methods, International Relations",,,Head of Data Science and Engineering,Insight Data Science,Jul 2019 – Mar 2020,9 mos,,,,,,,Data Science Lead,Odetta.ai,Jul 2019 – Mar 2020,9 mos,,,,,,,Assistant Professor Of Political Science,Emory University,Sep 2013 – Aug 2018,5 yrs,"Atlanta, GA",,,,,,"Postdoctoral Fellow, Government Department",Harvard University,Sep 2011 – Jun 2013,1 yr 10 mos,"Cambridge, MA",,,,,,,,,,,
Senior Data Scientist at Boston Consulting Group (BCG),Machine Learning,Columbia University in the City of New York,Master of Science - MS,Data Science,,,Senior Data Scientist,Boston Consulting Group (BCG),Feb 2021 – Present,11 mos,New York City Metropolitan Area,"Indian Institute of Technology, Bombay",Bachelor of Technology (B.Tech.),Chemical Engineering,,,Senior Data Scientist,BCG GAMMA,Feb 2021 – Present,11 mos,New York City Metropolitan Area,,,,,,Data Scientist,Boardroom Alpha,Sep 2018 – Dec 2018,4 mos,Greater New York City Area,,,,,,Research Assistant,Columbia University in the City of New York,Oct 2017 – Dec 2018,1 yr 3 mos,Greater New York City Area,,,,,,Summer Data Scientist,The Boston Consulting Group (BCG),Jun 2018 – Aug 2018,3 mos,Greater Boston Area,,,,,,,,,,,
Lead Product Manager at Orchard,Product Manager,New York University - Leonard N. Stern School of Business,BS,Finance,,,Lead Product Manager,Orchard,2021 – Present,less than a year,"New York, New York, United States",,,,,,Co-Founder & CEO,Trendsy,2020 – 2021,1 yr,"New York, New York, United States",,,,,,Head of Product,KidPass,2017 – 2020,3 yrs,Greater New York City Area,,,,,,Product,MealPal,2016 – 2017,1 yr,,,,,,,Co-founder,"RoundTable, Inc.",2015 – 2016,1 yr,New York City,,,,,,,,,,,
Senior Engineering Manager at The New York Times,Product Manager,State University of New York at New Paltz,Bachelor’s Degree,Classical Music Performance,,"WFNP Radio, French National Honor Society, CY Orchestra, Wind Ensemble, Chamber Ensembles",Senior Engineering Manager,The New York Times,Jan 2021 – Present,1 yr,,App Academy,,Web Development,,,Senior Manager of Engineering,Gatsby,Aug 2020 – Dec 2020,5 mos,,,,,,,Engineering Manager,CircleCI,Jun 2019 – Jan 2020,8 mos,Remote,,,,,,Frontend Engineer & Product Engineer,Manifold,Nov 2017 – Jun 2019,1 yr 8 mos,Remote,,,,,,Software Engineer,Buildit@wiprodigital,Mar 2017 – Oct 2017,8 mos,"Brooklyn, New York",,,,,,,,,,,
Associate Product Manager @ Red Hat  | WebDev Alum @ TKH | NSF Research Scholar | HACU Leader,Product Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product at BrightHire (We’re hiring!),Product Manager,The University of Texas at Austin,Bachelor of Science,Electrical and Computer Engineering,,,Director of Product (Founding Product Hire),BrightHire,Apr 2021 – Present,9 mos,,,,,,,Senior Product Manager 2,Compass,Oct 2019 – Apr 2021,1 yr 7 mos,Greater New York City Area,,,,,,Senior Product Manager (Ad Tech),Thunder Industries,Feb 2015 – Mar 2018,3 yrs 2 mos,San Francisco Bay Area,,,,,,Data Programmer,Calpine,Apr 2012 – Jan 2014,1 yr 10 mos,"Houston, Texas Area",,,,,,Software Engineer,Cerner Corporation,Jul 2010 – Apr 2012,1 yr 10 mos,"Kansas City, Missouri Area",,,,,,,,,,,
Director of Product Management at Macys.com & Bloomingdales.com,Product Manager,"Rutgers, The State University of New Jersey - Rutgers Business School",Bachelor of Science (BS),Marketing,,,"Director of Product Management (Homepage, Navigation, Browse & Product Pages)",Macys.com & Bloomingdales.com,Jan 2020 – Present,2 yrs,"New York, New York, United States",Human Factors International,Effective Web Design and Usability Certification,,,,Product Manager (Personalization),Bloomingdales.com,May 2014 – Jan 2016,1 yr 9 mos,Greater New York City Area,,,,,,Sr. Product Manager,"PDR Network, LLC",Sep 2010 – May 2014,3 yrs 9 mos,,,,,,,Product Manager,IAC,Sep 2007 – Sep 2010,3 yrs 1 mo,,,,,,,Product Development Associate,Arbinet,Jun 2006 – Aug 2007,1 yr 3 mos,,,,,,,,,,,,
"Senior Product Manager, Consumer at Resy, an American Express company",Product Manager,New School University,BFA,Design and Technology,,,"Senior Product Manager, Consumer","Resy, American Express Global Dining Network",Jan 2020 – Present,2 yrs,,,,,,,"Senior Product Manager, Acquisition and Growth",Flatiron School,Apr 2018 – Jan 2020,1 yr 10 mos,"New York, NY",,,,,,Associate Technology Director / Technical Product Manager,Interbrand,Aug 2015 – May 2018,2 yrs 10 mos,"New York, NY",,,,,,Web Developer,New School University,Nov 2004 – Jul 2011,6 yrs 9 mos,"New York, NY",,,,,,,,,,,,,,,,,,,,,
Product Manager,Product Manager,University of Michigan,Bachelor of Arts (BA),English Literature,,,Senior Product Manager,Code Climate,Jun 2021 – Present,7 mos,"New York, New York, United States",,,,,,Product Manager,Hive,Nov 2019 – Jan 2021,1 yr 3 mos,Greater New York City Area,,,,,,Head of Product / Investor,Strengthlete,Nov 2016 – Jun 2019,2 yrs 8 mos,"Jersey City, NJ",,,,,,Analyst / Product Responsible (Global Treasury - Liquidity Risk Infrastructure),J.P. Morgan,Oct 2014 – Oct 2016,2 yrs 1 mo,Greater New York City Area,,,,,,Technical Product Owner,Tribeca New Music Inc,Jul 2011 – Apr 2013,1 yr 10 mos,NYC,,,,,,,,,,,
"Product Manager | previously at Thumbtack, Apple",Product Manager,Princeton University,BSE,Computer Science,,"Society of Women Engineers, Princeton Women in Computer Science, Mathey College Council","Entrepreneur, Summer 2021 Cohort",Galvanizer,Jul 2021 – Aug 2021,2 mos,,The Chapin School,,,,"New Student Transition Program Founder, Faculty-Selected Peer Leader, Junior Girl Scout Troop Assistant, Varsity Volleyball",Senior Product Manager,Thumbtack,Jan 2019 – Jul 2021,2 yrs 7 mos,San Francisco Bay Area,,,,,,"Engineering PM, Apple Watch Faces, Clock, SOS & Comms",Apple,Aug 2018 – Jan 2019,6 mos,"Cupertino, California, United States",,,,,,Technical Product Owner Intern,Apple,Jun 2015 – Aug 2015,3 mos,"Cupertino, CA",,,,,,Software Engineering Intern,Google,Jun 2014 – Aug 2014,3 mos,Greater New York City Area,,,,,,,,,,,
Product Manager and Data Architect at JPMorgan Chase & Co.,Product Manager,Temple University,Master’s Degree,Computer Science,,,Product Manager and Data Architect in Consumer Risk Management,JPMorgan Chase & Co.,Nov 2020 – Present,1 yr 2 mos,Greater New York City Area,Dong-A University,Bachelor’s Degree,Economics,,,Business Analyst and Project Manager at Counterparty Credit Risk,Bank of America,Aug 2016 – Mar 2017,8 mos,Greater New York City Area,,,,,,Business Analyst and Programmer in Credit Risk and Market Risk Management,MUFG,Feb 2005 – Jul 2011,6 yrs 6 mos,Greater New York City Area,,,,,,Programmer,Accenture,Feb 2003 – Feb 2005,2 yrs 1 mo,Greater Philadelphia Area,,,,,,,,,,,,,,,,,,,,,
"Certified SAFe® Product Owner/Product Manager and Scrum Master experienced with business analysis, IT development, and enterprise-wide project management.",Product Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
